year,catnat_decrees,communes_affected
1982,9,16762
1983,16,7790
1984,9,1289
1985,8,529
1986,9,1622
1987,17,1203
1988,21,2675
1989,21,537
1990,18,2312
1991,19,857
1992,31,3073
1993,42,5506
1994,33,2656
1995,22,4605
1996,28,1478
1997,24,1406
1998,20,1106
1999,29,27313
2000,33,2227
2001,42,2879
2002,27,1163
2003,27,2261
2004,19,334
2005,21,842
2006,24,1072
2007,19,1070
2008,26,2177
2009,23,4425
2010,23,1981
2011,23,962
2012,18,729
2013,31,1511
2014,33,2057
2015,22,776
2016,29,2846
2017,23,303
2018,37,3426
2019,26,913
2020,28,1168
2021,30,2261
2022,21,768
2023,32,1441
2024,17,2613
2025,2,119
